parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
1032,Dixie Valley,-147,-82,normal oblique,normal,normal
1033,Dry Lake,-95,-83,normal,normal,normal
1034,Dry Valley - Smoke Creek Ranch,-136,-99,normal oblique,normal,normal
1035,Duck Flat,-102,-96,normal,normal,normal
1036,Dunn Glenn,-93,-80,normal,normal,normal
1037,Eastern Bilk Creek Mountains,-102,-82,normal,normal,normal
1038,Eastern Edwards Creek Valley,-135,-77,normal oblique,normal,normal oblique
1039,Eastern Granite Range,-109,-103,normal,normal,normal
1040,Eastern Independence Valley,-90,-84,normal,normal,normal
1041,Eastern Monitor Range (north),-102,-85,normal,normal,normal
1043,Eastern Osgood Mountains,-103,-68,normal,normal oblique,normal
1044,Eastern Pine Forest Range,-101,-81,normal,normal,normal
1045,Lake Range,-166,-94,strike-slip,normal,normal
1047,Edna Mountain,-116,-72,normal oblique,normal,normal
1048,Eglington,-102,-98,normal,normal,normal
1049,Emigrant Peak,-169,-32,strike-slip,normal oblique,normal oblique
1050,Eugene Mountains,-89,-80,normal,normal,normal
1051,Fairview,-154,-92,normal oblique,normal,normal oblique
1052,Excelsior Mountains (unnamed),-165,180,strike-slip,strike-slip,normal oblique
1053,Fox Range,-128,-98,normal oblique,normal,normal
1054,Freds Mountain,-169,-79,strike-slip,normal,normal oblique
1055,Frenchman Mountain,-106,-102,normal,normal,normal
1057,Granite Springs Valley,-101,-87,normal,normal,normal
1058,Grass Valley,-117,-77,normal oblique,normal,normal
1059,Hiko,-104,-104,normal,normal,normal
1060,Hoppins Peak,-102,-83,normal,normal,normal
1061,Hot Springs,-165,-83,strike-slip,normal,normal
1062,Huntoon Valley (north),-107,-10,normal,strike-slip,normal
1063,Independence Valley,-86,-79,normal,normal,normal
1064,Indian Head,-180,180,strike-slip,strike-slip,strike-slip
1065,Indian Hill,-144,-19,normal oblique,strike-slip,normal
1066,Ione Valley,-107,-83,normal,normal,normal
1067,Jackson Mountains,-101,-92,normal,normal,normal
1068,Jakes Valley,-115,-85,normal oblique,normal,normal
1069,Jersey Valley,-125,-79,normal oblique,normal,normal
