parent_id,parent_name
1113,Spanish Springs Peak
1114,Spanish Springs Valley
2843,Spencer Canyon
2330,Spokane Hills
1230,Spotted Range
1115,Spruce Mountain Ridge
2208,Squaw Creek
2923,Stagner Creek
2712,Stansbury
2535,Steens (center)
2574,Steens (north)
2575,Steens (south)
1146,Steptoe (center)
1156,Steptoe Valley (east)
1232,Steptoe Valley (west)
1147,Stone Cabin Valley (center)
1157,Stone Cabin Valley (east)
2808,Stonewall Anticline
2713,Strawberry
2809,Strawberry Point
2057,Sugarloaf
2577,Sumpter Valley
2058,Sunshine
2486,Sunshine Valley
283,Superstition Hills
284,Surprise Valley
347,Surpur Creek
351,"Susanville - Eagle Lake (unnamed, proxy)"
285,Swain Ravine - Spenceville
2312,Sweetwater
2044,Swisshelm (north)
2055,Swisshelm (south)
2578,Sylvain - Oatfield
286,Table Bluff
2810,Tacoma
287,Tank Canyon
1118,Teels Marsh (unnamed)
1233,Terraced Hills
2907,Teton
1234,The Cove
1116,The Lava Beds (east)
1253,The Lava Beds (west)
2313,Thompson Valley
2773,Thousand Lake
1235,Thousand Springs Valley
2428,Tijeras - Canoncito
1236,Tikaboo
289,Tin Mountain
1117,Toiyabe Range
2774,Topliff Hill
2844,Toppenish Ridge (Mill Creek thrust)
1237,Toquima Range
290,Towne Pass
291,Trinidad
1262,Trinity Range (unnamed)
2536,Tule Springs Rims
2537,Turner - Mill Creek
1238,Tuscarora
2579,Twin Lakes - Multorpor Mountain Graben
2845,Uhtanum Ridge - Gable Mountain
2059,Uinkaret volcanic field
2924,Upper Yellowstone Valley (east)
2908,Upper Yellowstone Valley (west)
2775,Utah Lakes
2811,Utsalady Point (east)
2847,Utsalady Point (west)
2331,Vendome
2060,Verde
293,Verdugo
2061,Vernon
2491,Very Large Array (east)
2492,Very Large Array (west)
2196,Villa Grove
1263,Volcanic Hills (unnamed)
2776,Wah Wah Mountains (south)
1273,Wahmonie
2538,Waldport
294,Walker Spring
2806,Wallula (northeast)
2581,Wallula (southwest)
352,Walnut Creek
2493,Ward Tank - Sierro Kemado - Hackler Tank
2582,Warm Springs
1119,Warm Springs Valley
1274,"Warner Valley (east, Coleman Valley)"
2584,"Warner Valley (east, center)"
2583,"Warner Valley (east, north)"
1275,"Warner Valley (west, Coleman Valley)"
2541,"Warner Valley (west, north)"
2848,Warwick
2780,Wasatch (Brigham City)
